symbol,series,date,time,orno,bors,vd,vo,lp,mkt
XXX,EQ,3-Apr-06,9:56:28,200604033351402.00,S,50,166,2950,N
XXX,EQ,3-Apr-06,9:56:28,200604036685032.00,B,20,200,2942.05,N
XXX,EQ,3-Apr-06,9:56:28,200604036685294.00,B,200,200,2942,N
XXX,EQ,3-Apr-06,9:56:29,200604030012678.00,B,200,200,2941,N
XXX,EQ,3-Apr-06,9:56:31,200604030018562.00,B,200,200,2941.4,N
XXX,EQ,3-Apr-06,9:56:31,200604030020659.00,S,1,1,2942,N
XXX,EQ,3-Apr-06,9:56:34,200604036686710.00,S,2,2,3010,N
XXX,EQ,3-Apr-06,9:56:35,200604036686879.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:56:37,200604030021512.00,B,20,20,2950,N
XXX,EQ,3-Apr-06,9:56:38,200604030011743.00,B,175,175,2941.15,N
XXX,EQ,3-Apr-06,9:56:38,200604030018211.00,B,100,400,2942,N
XXX,EQ,3-Apr-06,9:56:38,200604030021655.00,B,200,200,2950,N
XXX,EQ,3-Apr-06,9:56:39,200604036687794.00,S,1,1,2950,N
XXX,EQ,3-Apr-06,9:56:41,200604033353797.00,S,5,5,,Y
XXX,EQ,3-Apr-06,9:56:41,200604033353826.00,B,10,10,2941,N
XXX,EQ,3-Apr-06,9:56:42,200604033354053.00,S,30,30,2960,N
XXX,EQ,3-Apr-06,9:56:42,200604036688178.00,S,25,25,2942,N
XXX,EQ,3-Apr-06,9:56:43,200604036688387.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:56:44,200604030022262.00,B,10,10,2950,N
XXX,EQ,3-Apr-06,9:56:45,200604033354525.00,B,50,50,2950.05,N
XXX,EQ,3-Apr-06,9:56:45,200604033354543.00,S,2,2,2980,N
XXX,EQ,3-Apr-06,9:56:47,200604036689134.00,S,5,5,2968.5,N
XXX,EQ,3-Apr-06,9:56:48,200604030023006.00,S,1,1,2942,N
XXX,EQ,3-Apr-06,9:56:49,200604030011756.00,B,175,175,2932,N
XXX,EQ,3-Apr-06,9:56:49,200604030021655.00,B,200,200,2950,N
XXX,EQ,3-Apr-06,9:56:49,200604033355098.00,B,3,3,2950,N
XXX,EQ,3-Apr-06,9:56:50,200604036679147.00,B,20,200,2942.05,N
XXX,EQ,3-Apr-06,9:56:53,200604030015704.00,B,100,100,2933,N
XXX,EQ,3-Apr-06,9:56:53,200604030023787.00,S,5,25,2949.9,N
XXX,EQ,3-Apr-06,9:56:53,200604030023856.00,B,51,51,2950.05,N
XXX,EQ,3-Apr-06,9:56:53,200604036690269.00,B,1,1,2928.05,N
XXX,EQ,3-Apr-06,9:56:53,200604036690269.00,B,1,1,2928.05,N
XXX,EQ,3-Apr-06,9:56:56,200604030023856.00,B,51,51,2950.15,N
XXX,EQ,3-Apr-06,9:56:58,200604030024625.00,S,1,1,2960,N
XXX,EQ,3-Apr-06,9:57:02,200604030025242.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:57:03,200604030023856.00,B,51,51,2950.25,N
XXX,EQ,3-Apr-06,9:57:04,200604030025462.00,B,1,1,2940,N
XXX,EQ,3-Apr-06,9:57:07,200604030025995.00,S,1,1,2990,N
XXX,EQ,3-Apr-06,9:57:08,200604033358092.00,B,5,5,2960,N
XXX,EQ,3-Apr-06,9:57:10,200604033353826.00,B,10,10,2933,N
XXX,EQ,3-Apr-06,9:57:11,200604030026531.00,B,10,10,2960,N
XXX,EQ,3-Apr-06,9:57:11,200604036693352.00,S,10,10,2950.15,N
XXX,EQ,3-Apr-06,9:57:12,200604030018090.00,B,100,100,2960,N
XXX,EQ,3-Apr-06,9:57:12,200604036688387.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:57:14,200604033359087.00,S,50,50,2985,N
XXX,EQ,3-Apr-06,9:57:14,200604036693961.00,S,1,1,3200,N
XXX,EQ,3-Apr-06,9:57:16,200604030027271.00,B,25,25,2960,N
XXX,EQ,3-Apr-06,9:57:16,200604033359352.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,9:57:16,200604036694024.00,B,1,1,2885,N
XXX,EQ,3-Apr-06,9:57:17,200604030027277.00,S,300,300,2949,N
XXX,EQ,3-Apr-06,9:57:17,200604030027439.00,B,100,100,2965,N
