symbol,series,date,time,tno,p,vol,bno,sno
XXX,EQ,3-Apr-06,9:58:35,200604030018460.00,2955,78,200604036709058.00,200604030037192.00
XXX,EQ,3-Apr-06,9:58:36,200604030018608.00,2955,1,200604030038271.00,200604030037192.00
XXX,EQ,3-Apr-06,9:58:44,200604030019485.00,2955,3,200604033372650.00,200604030037192.00
XXX,EQ,3-Apr-06,9:58:46,200604030019607.00,2965,1,200604033372650.00,200604030039705.00
XXX,EQ,3-Apr-06,9:58:46,200604030019654.00,2965,1,200604033372650.00,200604030039769.00
XXX,EQ,3-Apr-06,9:58:47,200604030019686.00,2965,1,200604033372650.00,200604030039807.00
XXX,EQ,3-Apr-06,9:58:49,200604030019873.00,2965,1,200604033372650.00,200604030040064.00
XXX,EQ,3-Apr-06,9:58:50,200604030019946.00,2965,93,200604033372650.00,200604030040203.00
XXX,EQ,3-Apr-06,9:58:57,200604030020505.00,2960,1,200604030041234.00,200604030040234.00
XXX,EQ,3-Apr-06,9:59:02,200604030021016.00,2960,1,200604033375217.00,200604036714022.00
XXX,EQ,3-Apr-06,9:59:08,200604030021642.00,2960,19,200604036715875.00,200604036714022.00
XXX,EQ,3-Apr-06,9:59:08,200604030021653.00,2960,1,200604036715875.00,200604030042619.00
XXX,EQ,3-Apr-06,9:59:13,200604030022139.00,2960,1,200604036715875.00,200604030043281.00
XXX,EQ,3-Apr-06,9:59:16,200604030022409.00,2960,1,200604036715875.00,200604030043714.00
XXX,EQ,3-Apr-06,9:59:18,200604030022537.00,2960,5,200604036715875.00,200604033377413.00
XXX,EQ,3-Apr-06,9:59:25,200604030023211.00,2965,1,200604030044880.00,200604033374987.00
XXX,EQ,3-Apr-06,9:59:25,200604030023212.00,2965,25,200604030044880.00,200604036718139.00
XXX,EQ,3-Apr-06,9:59:31,200604030023799.00,2965,74,200604030044880.00,200604033379483.00
XXX,EQ,3-Apr-06,9:59:31,200604030023800.00,2965,20,200604030044986.00,200604033379483.00
XXX,EQ,3-Apr-06,9:59:31,200604030023801.00,2965,10,200604030044535.00,200604033379483.00
XXX,EQ,3-Apr-06,9:59:37,200604030024478.00,2964,20,200604036720709.00,200604033379483.00
XXX,EQ,3-Apr-06,9:59:37,200604030024479.00,2964,105,200604036720709.00,200604030046039.00
XXX,EQ,3-Apr-06,9:59:37,200604030024480.00,2964,375,200604036720709.00,200604033379483.00
XXX,EQ,3-Apr-06,9:59:38,200604030024569.00,2960,1,200604036715875.00,200604030046299.00
XXX,EQ,3-Apr-06,9:59:38,200604030024848.00,2960,10,200604036715875.00,200604036721358.00
XXX,EQ,3-Apr-06,9:59:40,200604030025087.00,2964,1,200604030046887.00,200604033379483.00
XXX,EQ,3-Apr-06,9:59:40,200604030025088.00,2964.9,99,200604030046887.00,200604030042046.00
XXX,EQ,3-Apr-06,9:59:50,200604030026050.00,2964.9,66,200604030048206.00,200604030042046.00
XXX,EQ,3-Apr-06,9:59:54,200604030026409.00,2964.9,35,200604030047658.00,200604030042046.00
XXX,EQ,3-Apr-06,9:59:54,200604030026410.00,2965,1,200604030047658.00,200604033381837.00
XXX,EQ,3-Apr-06,9:59:59,200604030026954.00,2968.9,200,200604036724833.00,200604030036362.00
XXX,EQ,3-Apr-06,9:59:59,200604030026955.00,2970,1,200604036724833.00,200604030037073.00
XXX,EQ,3-Apr-06,9:59:59,200604030026956.00,2970,1,200604036724833.00,200604030040646.00
XXX,EQ,3-Apr-06,9:59:59,200604030026957.00,2970,1,200604036724833.00,200604033375221.00
XXX,EQ,3-Apr-06,9:59:59,200604030026958.00,2970,1,200604036724833.00,200604030042360.00
